"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Howie Kendrick","Nationals","94","286","260","78","16","1","9","36","37","20","45","3","3","1",".299",".353",".469",".822",".347","-0.7","-0.7","1.1","4229"
"Austin Barnes","Dodgers","53","211","183","42","9","1","5","24","22","23","48","4","3","1",".228",".324",".363",".688",".298","0.4","-0.1","1.1","12158"
"Max Stassi","Angels","57","224","199","41","9","0","7","23","22","19","67","3","1","1",".208",".287",".354",".641",".278","-0.5","-0.5","1.1","10059"
"Willie Calhoun","Rangers","130","560","507","138","27","2","26","74","79","43","84","4","2","1",".272",".332",".486",".818",".341","-4.0","-0.4","1.1","17838"
"Avisail Garcia","Brewers","115","477","438","120","22","2","19","58","69","30","111","6","6","3",".274",".326",".468",".794",".332","-1.2","-0.5","1.1","5760"
"Rougned Odor","Rangers","136","588","531","125","27","2","29","78","84","44","160","7","13","8",".235",".301",".455",".757",".316","-2.5","0.5","1.0","12282"
"Nick Senzel","Reds","110","416","376","98","22","3","12","53","45","33","102","3","12","5",".260",".324",".432",".755",".320","-0.7","0.2","1.0","19293"
"Justin Smoak","Brewers","117","464","392","93","19","0","22","57","67","65","111","4","0","0",".237",".349",".456",".806",".342","-0.2","-1.8","1.0","9054"
"Christian Walker","Diamondbacks","125","539","479","120","26","3","24","69","75","50","141","5","5","1",".252",".327",".464",".791",".330","0.8","0.5","1.0","13419"
"Ryan Braun","Brewers","109","469","426","115","25","2","21","61","70","34","95","4","9","3",".269",".327",".481",".809",".337","-1.0","-0.6","1.0","3410"
"Robinson Chirinos","Rangers","92","365","310","70","15","1","14","43","45","39","106","11","1","1",".227",".332",".418",".750",".322","-0.1","-1.3","1.0","3142"
"Victor Caratini","Cubs","73","256","227","60","12","1","7","29","30","23","52","3","1","0",".265",".336",".420",".756",".323","-1.0","-0.1","1.0","14968"
"Brian Dozier","","65","280","244","59","12","1","12","36","36","30","60","3","4","2",".241",".329",".444",".774",".327","-0.9","0.0","1.0","9810"
"Ryan McMahon","Rockies","131","567","507","134","28","3","22","69","78","51","157","3","6","2",".264",".333",".458",".790",".332","-1.5","0.4","1.0","15112"
"A.J. Pollock","Dodgers","89","345","314","80","17","2","14","45","46","23","73","5","7","2",".254",".313",".452",".765",".321","-1.1","1.0","1.0","9256"
"Mauricio Dubon","Giants","118","511","477","126","23","2","12","53","48","24","78","3","12","6",".263",".301",".391",".691",".293","2.6","-0.1","0.9","16530"
"Yan Gomes","Nationals","71","282","253","60","13","0","10","30","36","22","71","4","1","0",".236",".306",".409",".714",".301","1.9","-0.3","0.9","9627"
"Shin-Soo Choo","Rangers","146","630","537","136","27","1","21","84","60","75","156","12","11","2",".253",".356",".423",".779",".335","-0.4","0.5","0.9","3174"
"Steven Souza Jr.","Cubs","112","363","317","75","15","2","15","44","49","39","108","4","7","3",".237",".325",".440",".765",".325","0.1","0.9","0.9","5667"
"Francisco Mejia","Padres","99","390","358","91","19","2","12","42","44","22","80","5","2","1",".254",".303",".421",".724",".304","0.1","0.0","0.9","16403"
"Marwin Gonzalez","Twins","75","322","291","78","17","1","10","38","42","25","68","3","2","1",".266",".330",".436",".766",".324","0.2","-0.3","0.9","5497"
"Jorge Alfaro","Marlins","113","448","413","100","17","1","14","42","49","21","149","10","3","2",".241",".291",".390",".682",".289","-1.6","-0.9","0.9","12180"
"Wilmer Flores","Giants","105","355","326","91","20","0","12","39","45","21","42","4","1","1",".279",".327",".448",".774",".326","-2.2","-1.3","0.9","5827"
"Rio Ruiz","Orioles","96","413","371","90","17","2","12","44","46","37","91","1","1","1",".243",".312",".396",".708",".302","1.6","-0.5","0.9","14103"
"Joey Wendle","Rays","71","308","283","73","16","2","5","33","30","16","59","5","8","2",".257",".307",".385",".691",".294","2.1","0.6","0.9","13853"
"Maikel Franco","Royals","120","518","470","121","25","1","20","59","70","40","74","2","1","0",".258",".316",".443",".759",".311","-2.8","-1.0","0.9","12179"
"Franklin Barreto","Athletics","78","336","305","71","15","2","13","41","41","23","105","4","7","2",".232",".292",".419",".711",".299","0.0","0.8","0.9","15519"
"Alex Gordon","Royals","118","511","453","114","22","1","12","57","54","42","99","11","5","2",".251",".328",".386",".713",".307","4.8","-0.6","0.9","5209"
"Josh Reddick","Astros","86","371","337","90","15","2","11","44","43","29","52","1","4","1",".268",".323",".417",".740",".313","0.5","0.2","0.8","3892"
"Austin Romine","Tigers","63","250","231","59","12","0","7","27","29","13","53","2","1","0",".256",".298",".408",".706",".299","0.4","-0.3","0.8","5491"
"Oscar Mercado","Indians","136","588","532","135","28","3","13","72","60","40","117","7","24","11",".253",".311",".391",".703",".301","1.2","0.6","0.8","16375"
"Eric Thames","Nationals","112","455","393","94","20","2","23","62","64","51","139","7","4","2",".239",".336",".476",".812",".339","-2.1","0.0","0.8","3711"
"Chris Taylor","Dodgers","87","278","248","62","15","2","8","34","32","25","75","3","5","2",".251",".324",".424",".747",".317","-1.0","1.1","0.8","13757"
"Nico Hoerner","Cubs","83","357","330","89","16","4","7","40","39","21","43","4","6","3",".271",".319",".405",".723",".308","1.3","0.0","0.8","21479"
"Asdrubal Cabrera","Nationals","86","299","268","72","16","1","11","36","43","26","58","2","2","0",".269",".337",".453",".789",".333","-1.9","-1.0","0.8","4962"
"Jordan Luplow","Indians","68","294","257","63","14","1","11","38","40","31","69","3","4","2",".247",".334",".443",".776",".329","2.1","-0.3","0.8","16424"
"Tyler O'Neill","Cardinals","115","457","416","100","17","1","24","58","66","33","147","3","5","1",".241",".300",".459",".758",".316","-0.5","0.9","0.8","15711"
"Isan Diaz","Marlins","130","560","497","117","22","3","16","65","63","55","142","4","7","3",".235",".315",".389",".704",".303","-3.2","-0.2","0.8","17922"
"Cameron Maybin","Tigers","104","448","394","101","21","1","10","55","43","47","103","3","14","7",".256",".338",".391",".730",".316","-0.1","-0.1","0.8","5223"
"Teoscar Hernandez","Blue Jays","118","511","458","107","23","3","24","64","69","45","159","3","8","4",".233",".304",".454",".758",".317","-0.8","-0.2","0.8","13066"
"Shed Long","Mariners","121","525","474","113","21","3","15","59","52","42","138","4","9","5",".238",".303",".389",".692",".296","-1.9","-0.1","0.8","16542"
"Jedd Gyorko","Brewers","76","269","238","59","10","1","12","32","37","27","62","1","2","0",".246",".324",".444",".768",".325","0.2","-0.4","0.8","10816"
"Enrique Hernandez","Dodgers","89","265","234","56","12","1","10","34","35","26","55","2","2","0",".241",".318",".436",".754",".317","-0.5","0.7","0.8","10472"
"Derek Fisher","Blue Jays","84","364","319","73","14","2","15","46","43","39","115","3","9","3",".228",".315",".427",".742",".314","0.9","0.4","0.8","16192"
"Matt Joyce","Marlins","96","293","247","59","12","0","10","36","29","42","62","1","1","1",".239",".350",".408",".758",".327","-1.0","-0.4","0.7","3353"
"Dexter Fowler","Cardinals","126","546","466","109","23","3","16","66","60","67","132","6","8","4",".235",".336",".399",".735",".317","-3.2","0.2","0.7","4062"
"Michael Chavis","Red Sox","113","490","444","109","22","1","23","60","70","36","145","5","3","1",".245",".308",".456",".764",".320","-3.2","-0.2","0.7","17321"
"Dylan Carlson","Cardinals","68","294","262","65","13","3","9","34","34","26","66","3","7","3",".249",".321",".425",".745",".315","-0.8","-0.1","0.7","sa917940"
"Anthony Santander","Orioles","136","588","546","140","30","2","22","67","76","31","120","5","5","3",".257",".300",".440",".740",".310","0.3","-0.2","0.7","14551"
"Austin Riley","Braves","58","252","230","58","12","1","14","33","40","17","73","3","1","1",".250",".308",".486",".794",".328","-1.3","-0.2","0.7","18360"
"Yoenis Cespedes","Mets","60","199","179","46","9","1","10","26","30","16","49","2","1","0",".255",".321",".485",".806",".332","0.1","0.2","0.7","13110"
"Jarrod Dyson","Pirates","86","371","328","78","12","3","5","45","27","34","63","4","22","5",".238",".315",".337",".652",".286","3.7","2.8","0.7","4866"
"Danny Santana","Rangers","126","546","507","131","26","5","21","72","71","28","149","5","19","8",".258",".301",".456",".757",".315","-3.3","1.3","0.7","10322"
"Omar Narvaez","Brewers","91","358","314","83","13","0","12","40","41","38","65","3","0","1",".265",".347",".427",".774",".331","-5.3","-0.7","0.7","13338"
"Jo Adell","Angels","63","273","251","64","14","1","9","31","32","17","75","3","5","1",".257",".310",".429",".738",".312","1.6","0.4","0.7","sa3004837"
"Addison Russell","","39","168","149","37","7","1","5","19","20","15","38","2","1","0",".246",".320",".407",".727",".309","2.3","0.2","0.7","14106"
"Jesus Aguilar","Marlins","97","420","368","90","17","0","18","49","59","43","100","4","0","0",".245",".325",".435",".761",".322","1.0","-0.7","0.7","11342"
"Alex Dickerson","Giants","115","457","411","109","23","4","13","55","56","34","92","7","3","1",".264",".328",".432",".760",".320","-2.6","-0.3","0.7","12649"
"Eric Sogard","Brewers","81","330","291","74","15","1","6","38","28","32","50","3","5","1",".256",".333",".379",".711",".307","0.5","0.4","0.7","7927"
"Alec Bohm","Phillies","44","189","171","45","8","1","7","23","24","15","32","1","2","1",".265",".326",".449",".775",".326","0.3","-0.1","0.7","sa3007284"
"Austin Nola","Mariners","107","443","398","96","20","1","9","45","43","36","94","5","3","1",".241",".310",".368",".678",".293","1.3","0.2","0.7","15941"
"Tyler Naquin","Indians","65","280","257","70","14","1","9","33","34","17","67","2","4","2",".271",".319",".439",".757",".317","2.3","0.1","0.6","13359"
"Wil Myers","Padres","102","361","319","75","16","1","14","43","44","37","111","2","11","4",".234",".315",".428",".742",".315","-0.5","0.9","0.6","10047"
"Mike Ford","Yankees","42","182","159","41","8","0","9","25","27","19","34","2","0","0",".256",".340",".484",".824",".344","-0.2","-0.1","0.6","15585"
"Domingo Santana","Indians","87","378","331","83","16","1","16","47","51","41","123","3","5","2",".250",".335",".453",".788",".333","-3.3","0.3","0.6","10348"
"Mitch Moreland","Red Sox","110","476","424","104","24","2","20","59","69","45","110","3","1","0",".245",".319",".451",".770",".323","1.7","-1.1","0.6","3086"
"Adam Haseley","Phillies","110","476","431","108","21","2","12","52","51","33","104","6","7","3",".252",".313",".395",".707",".302","-0.5","0.2","0.6","19878"
"Kurt Suzuki","Nationals","78","307","278","74","15","0","13","35","48","18","39","7","1","0",".267",".326",".456",".782",".329","-4.1","-0.7","0.6","8259"
"JaCoby Jones","Tigers","130","560","506","115","26","5","16","63","53","39","168","9","12","5",".226",".292",".389",".680",".289","0.2","0.8","0.6","14818"
"Brock Holt","Brewers","102","349","305","78","15","2","6","37","36","35","72","5","4","3",".256",".340",".378",".718",".312","-0.5","-0.7","0.6","9345"
"Jon Berti","Marlins","75","242","216","52","9","2","5","28","20","20","54","4","12","4",".242",".316",".362",".678",".295","1.1","1.3","0.6","12037"
"Kyle Higashioka","Yankees","36","141","129","29","6","0","7","17","20","9","36","1","0","0",".225",".279",".427",".706",".295","-0.6","0.0","0.6","5517"
"Garrett Cooper","Marlins","102","401","363","95","18","1","12","44","46","30","96","4","0","1",".262",".323",".417",".740",".315","0.7","-0.7","0.6","15279"
"Jay Bruce","Phillies","89","245","223","54","12","1","14","31","41","20","59","1","1","1",".242",".304",".493",".796",".329","-0.3","-0.4","0.6","9892"
"Colin Moran","Pirates","118","511","465","123","24","2","14","53","67","37","110","4","1","1",".264",".320",".415",".735",".310","-4.5","-1.4","0.6","16909"
"Austin Allen","Athletics","53","212","194","47","11","0","7","24","27","13","50","2","0","0",".244",".297",".412",".709",".297","-1.2","-0.1","0.6","18083"
"Kevin Pillar","Red Sox","60","259","243","65","17","1","7","31","33","10","40","3","5","2",".269",".304",".432",".736",".308","2.0","0.6","0.5","12434"
"Brett Phillips","Royals","79","343","298","61","10","5","9","38","34","38","118","2","10","2",".205",".297",".365",".662",".285","5.3","1.3","0.5","14735"
"Joe Panik","","52","224","200","52","11","1","4","26","22","19","22","2","2","1",".262",".328",".388",".717",".307","-0.3","-0.2","0.5","11936"
"Freddy Galvis","Reds","136","588","545","135","27","3","16","62","67","34","133","2","6","3",".247",".292",".394",".686",".290","0.5","0.0","0.5","6609"
"Jason Kipnis","","63","253","226","56","13","1","7","28","31","21","47","2","3","1",".249",".317",".412",".729",".310","-0.4","0.3","0.5","9776"
"Eric Hosmer","Padres","146","630","572","150","27","2","22","73","84","51","138","3","3","2",".263",".323",".433",".756",".318","-0.1","-1.4","0.5","3516"
"Aristides Aquino","Reds","99","387","356","85","15","2","22","49","64","25","114","3","5","2",".238",".293",".480",".773",".319","0.1","0.2","0.5","15482"
"David Bote","Cubs","78","236","207","50","10","1","7","27","28","23","61","3","3","1",".242",".324",".408",".732",".311","-0.2","0.3","0.5","14593"
"Francisco Cervelli","Marlins","83","300","255","59","11","1","6","30","30","33","72","8","2","1",".232",".337",".360",".697",".307","-2.0","-0.6","0.5","5275"
"Jose Peraza","Red Sox","63","273","254","71","12","2","5","31","27","12","36","4","8","4",".279",".319",".394",".713",".304","0.0","0.2","0.5","13593"
"Russell Martin","","29","115","97","21","3","0","3","12","11","15","28","3","1","0",".215",".333",".347",".680",".300","-0.1","-0.4","0.5","4616"
"Stephen Vogt","Diamondbacks","86","274","249","62","16","1","10","30","38","21","59","1","2","1",".248",".307",".444",".751",".314","-2.5","-0.5","0.5","5000"
"Cam Gallagher","Royals","29","115","104","26","5","0","2","11","11","8","20","1","0","0",".248",".306",".366",".673",".289","0.7","-0.3","0.5","12981"
"Victor Reyes","Tigers","96","413","389","105","19","4","7","46","38","18","78","1","12","5",".271",".303",".394",".696",".295","3.5","0.3","0.5","15487"
"Jake Marisnick","Mets","92","319","291","64","14","2","11","40","35","19","96","6","9","4",".221",".280",".398",".679",".287","1.0","0.9","0.4","11339"
"D.J. Stewart","Orioles","79","343","300","73","15","1","13","41","42","34","77","5","6","3",".241",".326",".424",".750",".319","-1.9","-0.2","0.4","17766"
"Nick Markakis","Braves","99","327","290","81","17","1","7","37","41","31","45","2","1","1",".279",".350",".412",".761",".325","-1.2","-1.0","0.4","5930"
"Miguel Andujar","Yankees","110","476","444","119","26","2","19","57","67","23","81","4","2","2",".267",".305",".460",".765",".318","-2.0","-0.1","0.4","15878"
"Leury Garcia","White Sox","89","385","358","95","16","2","7","46","33","15","86","5","9","3",".264",".301",".376",".678",".290","0.7","0.7","0.4","5913"
"Sheldon Neuse","Athletics","50","217","200","50","10","1","5","23","23","14","63","1","1","1",".251",".301",".382",".682",".291","0.9","-0.1","0.4","19635"
"Austin Slater","Giants","65","220","193","48","10","1","5","24","23","22","59","3","3","1",".250",".336",".392",".728",".314","0.1","0.2","0.4","16153"
"Tony Wolters","Rockies","97","384","335","83","17","2","4","38","37","37","68","6","1","1",".249",".332",".349",".680",".294","4.4","-0.2","0.4","11470"
"Jed Lowrie","Mets","79","243","216","52","11","1","6","26","27","24","49","1","0","0",".240",".317",".387",".704",".303","-0.4","-0.5","0.4","4418"
"Daniel Murphy","Rockies","130","560","512","150","36","2","19","71","83","39","81","3","2","1",".292",".343",".483",".826",".344","-1.0","-0.7","0.4","4316"
"Jose Osuna","Pirates","102","321","293","77","21","1","10","38","41","21","60","2","2","1",".261",".313",".440",".753",".317","-2.2","-0.4","0.4","12937"
"Brian Goodwin","Angels","92","399","359","85","19","2","13","47","45","33","113","3","6","2",".237",".303",".411",".714",".302","-0.4","0.3","0.4","12858"
"Kevin Plawecki","Red Sox","34","135","120","30","7","0","3","14","16","11","26","3","0","0",".246",".319",".390",".709",".304","0.0","-0.3","0.4","13807"
"Renato Nunez","Orioles","143","616","557","136","26","1","30","74","89","46","153","7","1","1",".244",".307",".457",".764",".320","0.0","-0.4","0.4","14503"
"Michael Perez","Rays","42","166","150","34","7","0","5","17","17","14","43","1","1","1",".227",".292",".369",".661",".284","1.6","-0.3","0.4","12977"
"Jake Lamb","Diamondbacks","73","235","201","46","11","2","9","29","33","30","61","3","2","1",".232",".335",".429",".764",".324","-0.9","0.4","0.4","13329"
"Daniel Robertson","Rays","41","175","151","35","7","1","3","19","16","18","42","4","2","1",".231",".328",".349",".677",".299","0.3","-0.2","0.4","14145"
"Ramon Urias","Orioles","45","196","175","43","10","0","5","22","20","15","44","4","2","1",".245",".318",".394",".712",".306","-0.2","-0.1","0.4","sa597169"
"Ryan Zimmerman","Nationals","89","285","258","67","14","1","12","35","43","23","60","2","1","0",".259",".322",".461",".782",".328","-0.9","-0.1","0.4","4220"
"Jake Rogers","Tigers","42","166","147","30","6","1","6","18","18","14","50","2","1","1",".204",".282",".372",".654",".280","1.8","-0.1","0.4","19452"
"Tony Kemp","Athletics","50","217","193","50","9","2","3","25","20","18","31","2","6","3",".258",".327",".378",".705",".304","-0.7","-0.3","0.4","14894"
"Dustin Garneau","Astros","36","141","126","26","6","0","5","16","17","11","38","3","0","0",".207",".282",".368",".650",".279","1.0","-0.2","0.4","9433"
"Aledmys Diaz","Astros","31","133","120","31","7","0","5","17","18","10","20","2","1","1",".261",".321",".440",".761",".320","-0.7","-0.2","0.4","15937"
"Chance Sisco","Orioles","78","307","268","64","12","0","10","35","34","27","88","9","1","1",".237",".325",".398",".723",".313","-2.9","-0.2","0.4","15694"
"Curt Casali","Reds","65","257","228","54","10","0","8","26","30","24","62","2","1","1",".235",".311",".384",".694",".298","-1.1","-0.4","0.4","12510"
"Garrett Stubbs","Astros","34","134","120","28","6","0","3","15","13","11","27","2","3","1",".229",".300",".348",".648",".282","1.0","0.3","0.4","18067"
"Greg Garcia","Padres","65","180","152","37","6","1","2","19","14","23","39","3","1","1",".241",".348",".341",".689",".306","0.0","0.1","0.4","10951"
"Brad Miller","Cardinals","49","130","115","27","6","1","5","15","17","13","35","1","1","1",".238",".317",".445",".763",".321","0.0","-0.2","0.4","12775"
"James McCann","White Sox","49","196","179","43","8","0","6","20","23","13","54","2","1","1",".239",".297",".390",".687",".293","0.9","-0.4","0.4","12859"
"Myles Straw","Astros","29","126","112","29","4","1","1","15","9","12","24","1","7","2",".260",".334",".329",".663",".293","0.6","0.6","0.4","17620"
"Chad Pinder","Athletics","36","154","141","35","8","0","6","18","19","9","40","2","1","0",".247",".303",".425",".728",".307","0.9","-0.2","0.3","15191"
"Jose Martinez","Rays","57","245","220","59","10","1","7","28","29","21","53","1","2","1",".269",".334",".417",".752",".321","-0.1","-0.1","0.3","7996"
"Matt Beaty","Dodgers","62","166","153","41","9","0","4","19","22","10","24","2","2","1",".269",".320",".424",".744",".314","0.0","0.0","0.3","17710"
"Rowdy Tellez","Blue Jays","58","252","227","56","13","0","11","31","35","19","63","3","1","1",".247",".312",".454",".765",".320","0.3","-0.2","0.3","15679"
"Dee Gordon","Mariners","73","315","296","82","10","4","2","34","22","11","46","3","16","5",".276",".307",".356",".664",".285","-1.6","1.3","0.3","8203"
"Aaron Hicks","Yankees","16","70","60","14","3","0","3","10","10","9","16","0","1","0",".241",".340",".442",".782",".333","0.0","0.1","0.3","5297"
"Zack Cozart","","37","161","144","35","7","1","4","18","16","13","27","2","1","0",".242",".309",".395",".704",".300","0.7","-0.1","0.3","2616"
"Scooter Gennett","","60","259","240","63","12","1","7","30","31","15","56","2","2","1",".263",".309",".416",".725",".306","-2.1","-0.1","0.3","10339"
"Sandy Leon","Indians","62","243","220","47","9","0","6","24","24","17","63","2","1","1",".214",".273",".334",".607",".263","1.5","-0.6","0.3","5273"
"Robbie Grossman","Athletics","45","196","168","42","9","1","3","23","19","25","37","1","3","1",".250",".348",".376",".724",".316","-1.2","-0.2","0.3","5254"
"Adam Duvall","Braves","60","159","143","33","7","1","8","19","25","12","42","2","1","0",".233",".299",".459",".759",".315","0.6","0.2","0.3","10950"
"Josh Naylor","Padres","55","178","160","42","9","0","6","21","21","16","30","1","1","1",".262",".330",".426",".756",".320","-0.8","0.0","0.3","18839"
